song_id,title,artist,genre,mood
S0001,Jazzy Mountain,Beat Masters,Country,Romantic
S0002,Kind River,Sound Collective,Jazz,Energetic
S0003,Dark River,Violet Harmony,Classical,Dreamy
S0004,Undefined Shadow,Beat Masters,Electronic,Intense
S0005,Vibrant Memory,Jazz Ensemble,Folk,Sad
S0006,Electric Moon,Rhythm Section,Electronic,Nostalgic
S0007,Ocean Dance,The Echoes,Electronic,Romantic
S0008,Fantastic Sunrise,Ocean Waves,Rock,Upbeat
S0009,Midnight Song,Ocean Waves,Jazz,Romantic
S0010,Undefined Sun,Electric Phoenix,Electronic,Dreamy
S0011,Wandering Mountain,The Echoes,Hip Hop,Happy
S0012,Ocean Dream,Neon Dreams,R&B,Energetic
S0013,Neon Sun,Acoustic Hearts,Folk,Sad
S0014,Sweet Sun,Rock Rebels,Jazz,Romantic
S0015,Vibrant Shadow,Jazz Ensemble,Electronic,Dreamy
S0016,Sweet Time,Classic Revival,Country,Nostalgic
S0017,Quiet Love,Violet Harmony,R&B,Energetic
S0018,Radiant Journey,Rock Rebels,Folk,Nostalgic
S0019,Golden Wave,Acoustic Hearts,Classical,Intense
S0020,Vibrant Sunrise,Stellar Band,Classical,Dreamy
S0021,Undefined Sunrise,Jazz Ensemble,Hip Hop,Chill
S0022,Beautiful Light,Urban Soul,Pop,Energetic
S0023,Lost Song,Rhythm Section,Electronic,Chill
S0024,Dark Heart,Sound Collective,Jazz,Chill
S0025,Wandering Fire,Melody Makers,Hip Hop,Melancholic
S0026,Dark Song,Crystal Sound,Classical,Sad
S0027,Dark Ocean,Classic Revival,Rock,Dreamy
S0028,Jazzy Memory,Jazz Ensemble,Indie,Energetic
S0029,Dark Shadow,Crystal Sound,Rock,Sad
S0030,Neon Ocean,Rhythm Section,Rock,Dreamy
S0031,Ocean River,Ocean Waves,Country,Sad
S0032,Sweet River,Classic Revival,Electronic,Dreamy
S0033,Beautiful Sunrise,Classic Revival,Electronic,Romantic
S0034,Lost Light,Acoustic Hearts,Pop,Energetic
S0035,Electric Sun,Rhythm Section,Country,Sad
S0036,Vibrant Journey,Pop Paradise,R&B,Happy
S0037,Quiet Ocean,Rock Rebels,Electronic,Sad
S0038,Quiet Mountain,Electric Phoenix,Pop,Romantic
S0039,Yearning Wave,Crystal Sound,Hip Hop,Intense
S0040,Lost Journey,Crystal Sound,Rock,Chill
S0041,Infinite Moon,Neon Dreams,Folk,Nostalgic
S0042,Radiant Wave,Neon Dreams,R&B,Melancholic
S0043,Lost Fire,Sound Collective,Jazz,Intense
S0044,Infinite Dance,Crystal Sound,Rock,Happy
S0045,Perfect Moon,Sound Collective,Rock,Melancholic
S0046,Undefined Fire,Stellar Band,Pop,Chill
S0047,Fantastic Time,Stellar Band,Hip Hop,Chill
S0048,Perfect Heart,Folk Fusion,Jazz,Melancholic
S0049,Lost Sun,Stellar Band,Indie,Energetic
S0050,Golden Shadow,The Echoes,Indie,Romantic
